name,english,lon,lat,lines,line_count
北桥,BeiQiao,121.410054,31.045112,['5号线'],1
北洋泾路,BeiYangJing Lu,121.552314,31.239145,['6号线'],1
北蔡,BeiCai,121.552017,31.180131,['13号线'],1
华东理工大学,HuaDong LiGong DaXue,121.42899,31.144257,['15号线'],1
华夏东路,HuaXia DongLu,121.680972,31.196575,['2号线'],1
华夏中路,HuaXia ZhongLu,121.583109,31.175759,"['13号线', '16号线']",2
华夏西路,HuaXia XiLu,121.514539,31.149878,['6号线'],1
华宁路,HuaNing Lu,121.395255,31.007467,['5号线'],1
华鹏路,HuaPeng Lu,121.526567,31.176276,['13号线'],1
南京东路,NanJing DongLu,121.484628,31.238101,"['10号线', '2号线']",2
南京西路,NanJing XiLu,121.459971,31.229853,"['12号线', '13号线', '2号线']",3
南大路,NanDaLu,121.380346,31.299263,['15号线'],1
南浦大桥,NanPu DaQiao,121.499725,31.208504,['4号线'],1
南翔,NanXiang,121.323141,31.296952,['11号线'],1
南陈路,NanChen Lu,121.398419,31.32174,['7号线'],1
博兴路,BoXing Lu,121.586689,31.26352,['6号线'],1
友谊西路,YouYi XiLu,121.427953,31.381296,['1号线'],1
友谊路,YouYi Lu,121.475924,31.404016,['3号线'],1
双柏路,ShuangBai Lu,121.42175,31.083214,['15号线'],1
双江路,ShuangJiang Lu,121.539425,31.353601,['10号线'],1
古浪路,GuLang Lu,121.392217,31.284509,['15号线'],1
台儿庄路,TaiErZhuang Lu,121.597458,31.252825,['9号线'],1
合川路,HeChuan Lu,121.384772,31.166542,['9号线'],1
同济大学,TongJi DaXue,121.506357,31.282086,['10号线'],1
后滩,HouTan,121.473756,31.171918,['7号线'],1
向城路,XiangCheng Lu,121.53208,31.222285,['4号线'],1
吴中路,WuZhongLu,121.413905,31.184345,['15号线'],1
周浦,ZhouPu,121.567613,31.114129,['18号线'],1
周浦东,Zhou PuDong,121.606895,31.110038,['16号线'],1
呼兰路,HuLan Lu,121.437711,31.339703,['1号线'],1
唐镇,TangZhen,121.656269,31.214107,['2号线'],1
商城路,ShangCheng Lu,121.516275,31.230258,['9号线'],1
嘉善路,JiaShan Lu,121.460704,31.20282,"['12号线', '9号线']",2
嘉定北,JiaDing Bei,121.23735,31.391549,['11号线'],1
嘉定新城,JiaDingXinCheng,121.254294,31.330062,['11号线'],1
嘉定西,Jia DingXi,121.227855,31.377107,['11号线'],1
嘉怡路,JiaYi Lu,121.345697,31.259195,['14号线'],1
嘉松中路,JiaSong ZhongLu,121.223916,31.164099,['17号线'],1
四川北路,SiChuan BeiLu,121.484208,31.252035,['10号线'],1
四平路,SiPing Lu,121.501488,31.27488,"['10号线', '8号线']",2
国家会展中心(17号线),GuoJia HuiZhan ZhongXin (17 Hao Xian),121.29304,31.191678,['17号线'],1
国家会展中心(2号线),GuoJia HuiZhan ZhongXin (2 Hao Xian),121.299204,31.188367,['2号线'],1
国帆路,GuoFan Lu,121.513168,31.339548,['10号线'],1
国权路,GuoQuan Lu,121.510024,31.289276,"['10号线', '18号线']",2
国际客运中心,GuoJi KeYun ZhongXin,121.498158,31.25016,['12号线'],1
场中路,ChangZhong Lu,121.413458,31.303682,['7号线'],1
基隆路,JiLong Lu,121.590411,31.351311,['10号线'],1
塘桥,TangQiao,121.51869,31.209762,['4号线'],1
复兴岛,FuXingDao,121.561315,31.280779,['12号线'],1
复旦大学,FuDanDaXue,121.499529,31.296349,['18号线'],1
外环路,WaiHuan Lu,121.39302,31.120899,['1号线'],1
外高桥保税区北,WaiGaoQiao BaoShuiQu Bei,121.586926,31.347802,['6号线'],1
外高桥保税区南,WaiGaoQiao BaoShuiQu Nan,121.601963,31.321578,['6号线'],1
大世界,DaShiJie,121.479182,31.227392,"['14号线', '8号线']",2
大华三路,DaHua San Lu,121.422949,31.274047,['7号线'],1
大场镇,DaChangZhen,121.416157,31.293259,['7号线'],1
大木桥路,DaMuQiao Lu,121.463278,31.194057,"['12号线', '4号线']",2
大柏树,DaBaiShu,121.483216,31.289433,['3号线'],1
大渡河路,DaDuHe Lu,121.394431,31.231752,"['13号线', '15号线']",2
大连路,DaLian Lu,121.513088,31.257938,"['12号线', '4号线']",2
天潼路,TianTong Lu,121.482321,31.243815,"['10号线', '12号线']",2
奉浦大道,FengPu DaDao,121.448984,30.942055,['5号线'],1
奉贤新城,FengXian XinCheng,121.49629,30.913916,['5号线'],1
姚虹路,YaoHong Lu,121.406405,31.19155,['15号线'],1
威宁路,WeiNing Lu,121.387285,31.21487,['2号线'],1
娄山关路,LouShanGuan Lu,121.404058,31.211158,"['15号线', '2号线']",2
嫩江路,NenJiang Lu,121.531954,31.314804,['8号线'],1
学林路,XueLin Lu,121.614363,31.183476,['13号线'],1
宁国路,NingGuo Lu,121.532352,31.268574,['12号线'],1
安亭,AnTing,121.161985,31.28849,['11号线'],1
宋园路,SongYuan Lu,121.41208,31.19654,['10号线'],1
定边路,DingBian Lu,121.362396,31.256392,['14号线'],1
宜山路,YiShan Lu,121.427194,31.186717,"['3号线', '4号线', '9号线']",3
宝安公路,BaoAn GongLu,121.430914,31.369555,['1号线'],1
宝山路,BaoShan Lu,121.476298,31.251523,"['3号线', '4号线']",2
宝杨路,BaoYang Lu,121.479574,31.395315,['3号线'],1
富锦路,FuJin Lu,121.424661,31.39226,['1号线'],1
封浜,FengBang,121.297006,31.267488,['14号线'],1
小南门,XiaoNanMen,121.498398,31.216866,['9号线'],1
岚皋路,LanGao Lu,121.421939,31.256198,['7号线'],1
川沙,ChuanSha,121.69821,31.186741,['2号线'],1
巨峰路,JuFeng Lu,121.588365,31.280684,"['12号线', '6号线']",2
市光路,ShiGuang Lu,121.531933,31.322724,['8号线'],1
常熟路,ChangShu Lu,121.449141,31.213524,"['1号线', '7号线']",2
平凉路,PingLiang Lu,121.526701,31.259038,['18号线'],1
广兰路,GuangLan Lu,121.621072,31.21105,['2号线'],1
康恒路,KangHeng Lu,121.553699,31.154229,['11号线'],1
康新公路,KangXin GongLu,121.617199,31.130439,['11号线'],1
康桥,KangQiao,121.567306,31.134239,['18号线'],1
康桥东,KangQiao Dong,121.614894,31.146808,['市域机场线'],1
延吉中路,YanJi ZhongLu,121.534941,31.288543,['8号线'],1
延安西路,YanAn XiLu,121.417062,31.209616,"['3号线', '4号线']",2
延长路,YanChang Lu,121.455329,31.271675,['1号线'],1
张华浜,ZhangHuaBang,121.498671,31.358016,['3号线'],1
张江路,ZhangJiang Lu,121.629182,31.18913,['13号线'],1
张江高科,ZhangJiang GaoKe,121.58749,31.201872,['2号线'],1
彭浦新村,PengPuXinCun,121.448642,31.306604,['1号线'],1
徐家汇,XuJiaHui,121.436603,31.195514,"['11号线', '1号线', '9号线']",3
徐泾北城,XuJing BeiCheng,121.241668,31.175518,['17号线'],1
徐盈路,XuYing Lu,121.253976,31.178101,['17号线'],1
御桥,YuQiao,121.570914,31.158131,"['11号线', '18号线']",2
德平路,DePing Lu,121.564237,31.2454,['6号线'],1
惠南,HuiNan,121.761677,31.053828,['16号线'],1
惠南东,HuiNan Dong,121.7938,31.026448,['16号线'],1
成山路,cheng shan lu,121.49622,31.170735,"['13号线', '8号线']",2
打浦桥,DaPuQiao,121.468681,31.206309,['9号线'],1
抚顺路,FuShun Lu,121.515793,31.283664,['18号线'],1
提篮桥,TiLanQiao,121.506801,31.253518,['12号线'],1
文井路,WenJing Lu,121.380775,31.003597,['5号线'],1
新场,XinChang,121.64898,31.045561,['16号线'],1
新村路,XinCun Lu,121.422668,31.263855,['7号线'],1
新江湾城,XinJiangWanCheng,121.506951,31.328496,['10号线'],1
新闸路,XinZha Lu,121.468151,31.238373,['1号线'],1
昌吉东路,ChangJi DongLu,121.200384,31.29362,['11号线'],1
昌平路,ChangPing Lu,121.442617,31.233749,['7号线'],1
昌邑路,ChangYi Lu,121.540104,31.24394,"['14号线', '18号线']",2
星中路,XingZhong Lu,121.368903,31.158109,['9号线'],1
春申路,ChunShen Lu,121.385818,31.09825,['5号线'],1
景洪路,JingHong Lu,121.44431,31.109817,"['15号线', '市域机场线']",2
景西路,JingXi Lu,121.41876,31.099727,['15号线'],1
曙建路,ShuJian Lu,121.417897,31.090625,['15号线'],1
曲阜路,QuFu Lu,121.471543,31.242307,"['12号线', '8号线']",2
曲阳路,QuYang Lu,121.491138,31.276524,['8号线'],1
曹杨路,CaoYang Lu,121.417701,31.239302,"['11号线', '14号线', '3号线', '4号线']",4
曹路,CaoLu,121.683153,31.271297,['9号线'],1
望园路,WangYuan Lu,121.48358,30.93194,['5号线'],1
朱家角,ZhuJiaJiao,121.048989,31.100594,['17号线'],1
朱梅路,ZhuMei Lu,121.437804,31.124364,['15号线'],1
李子园,LiZiYuan,121.389969,31.26902,['11号线'],1
杨思,YangSi,121.493443,31.161054,['8号线'],1
杨树浦路,YangShuPu Lu,121.51721,31.251935,['4号线'],1
杨高中路,YangGao ZhongLu,121.548664,31.22751,"['18号线', '9号线']",2
杨高北路,YangGao BeiLu,121.60296,31.280092,['12号线'],1
杨高南路,YangGao NanLu,121.524539,31.187613,['7号线'],1
松江体育中心,SongJiang TiYuZhongXin,121.230546,31.016006,['9号线'],1
松江大学城,SongJiang DaXueCheng,121.232577,31.053984,['9号线'],1
松江新城,SongJiang XinCheng,121.230739,31.030295,['9号线'],1
枫桥路,FengQiao Lu,121.411402,31.24185,['11号线'],1
桂林公园,GuiLin GongYuan,121.419647,31.166985,"['12号线', '15号线']",2
桂林路,GuiLin Lu,121.418064,31.174791,"['15号线', '9号线']",2
桂桥路,GuiQiao Lu,121.635087,31.249419,['14号线'],1
桃浦新村,TaoPu XinCun,121.349623,31.281603,['11号线'],1
梅岭北路,MeiLing BeiLu,121.396997,31.243301,['15号线'],1
歇浦路,XiePu Lu,121.551506,31.250728,['14号线'],1
武威东路,WuWei DongLu,121.392094,31.275647,['15号线'],1
武威路,WuWei Lu,121.364678,31.276646,['11号线'],1
武宁路,WuNing Lu,121.430504,31.234346,"['13号线', '14号线']",2
武定路,WuDing Lu,121.436157,31.227303,['14号线'],1
殷高东路,YinGao DongLu,121.506797,31.321768,['10号线'],1
殷高西路,YinGao XiLu,121.484856,31.320005,['3号线'],1
殷高路,YinGao Lu,121.49556,31.321705,['18号线'],1
民生路,MinShengLu,121.543527,31.235851,"['18号线', '6号线']",2
民雷路,MinLei Lu,121.668125,31.268335,['9号线'],1
水产路,ShuiChan Lu,121.488247,31.381302,['3号线'],1
水城路,ShuiCheng Lu,121.392259,31.199482,['10号线'],1
永德路,YongDe Lu,121.443203,31.039147,['15号线'],1
汇臻路,HuiZhen Lu,121.524558,31.025245,['浦江线'],1
汇金路,HuiJin Lu,121.151665,31.161221,['17号线'],1
汉中路,HanZhong Lu,121.458699,31.241883,"['12号线', '13号线', '1号线']",3
江宁路,JiangNing Lu,121.44483,31.244282,['13号线'],1
江川路,JiangChuan Lu,121.423474,31.005428,['5号线'],1
