station,total_flow,am_peak_flow,pm_peak_flow,peak_time,peak_flow,dominant_line
金沙江西路,11019.0,4165.0,3131.0,08:30,236.0,13号线
醉白池,10396.0,3195.0,2305.0,07:25,188.0,9号线
宝杨路,10349.0,3434.0,2370.0,08:00,222.0,3号线
外高桥保税区北,10321.0,3444.0,2463.0,08:30,159.0,6号线
南陈路,10241.0,3920.0,2625.0,07:55,251.0,7号线
华宁路,10183.0,3749.0,2493.0,07:40,273.0,5号线
上海野生动物园,10042.0,3336.0,2454.0,08:20,184.0,16号线
友谊西路,10001.0,3615.0,2746.0,07:50,175.0,1号线
三门路,9063.0,3634.0,2720.0,08:50,178.0,10号线
洲海路,8906.0,3049.0,2287.0,08:10,190.0,6号线
申江路,8721.0,3625.0,2251.0,08:00,243.0,12号线
春申路,8664.0,3079.0,2596.0,07:55,148.0,5号线
滴水湖,8479.0,2185.0,1415.0,15:50,127.0,16号线
罗山路,8374.0,3411.0,2493.0,08:25,203.0,11号线
东方体育中心,8344.0,2888.0,2542.0,08:25,173.0,6号线
港城路,8167.0,3004.0,2044.0,08:05,181.0,6号线
龙耀路,7786.0,3001.0,2289.0,08:10,170.0,11号线
闵行开发区,7727.0,2829.0,1968.0,07:30,146.0,5号线
上海汽车城,7616.0,2597.0,1945.0,07:25,200.0,11号线
云锦路,7376.0,2749.0,2254.0,08:50,206.0,11号线
光明路,7236.0,2206.0,1889.0,07:35,131.0,11号线
书院,6306.0,1657.0,1553.0,07:00,124.0,16号线
五洲大道,6304.0,1958.0,1457.0,07:10,107.0,6号线
潘广路,6250.0,2176.0,1491.0,07:30,145.0,7号线
临港大道,6000.0,1030.0,1000.0,12:05,82.0,16号线
凌空路,5860.0,2150.0,1489.0,08:00,145.0,2号线
殷高东路,5760.0,2342.0,1623.0,08:05,141.0,10号线
紫藤路,5739.0,2020.0,1769.0,08:20,169.0,10号线
航头东,5656.0,2038.0,1564.0,07:45,148.0,16号线
铁力路,5602.0,2233.0,1399.0,07:55,210.0,3号线
后滩,5401.0,2247.0,1650.0,08:40,167.0,7号线
昌吉东路,5267.0,1655.0,1553.0,07:25,102.0,11号线
松江南站,4797.0,1402.0,1193.0,08:00,82.0,9号线
武威路,4587.0,1678.0,1082.0,07:55,107.0,11号线
上海赛车场,4576.0,1430.0,1054.0,07:20,81.0,11号线
文井路,4459.0,1898.0,1310.0,17:05,157.0,5号线
创新中路,3267.0,1122.0,883.0,07:45,71.0,2号线
惠南东,3177.0,1062.0,715.0,07:05,111.0,16号线
张华浜,3074.0,1073.0,720.0,08:10,68.0,3号线
远东大道,3010.0,881.0,734.0,07:35,45.0,2号线
海天三路,2969.0,1256.0,442.0,08:05,94.0,2号线
复兴岛,2404.0,764.0,514.0,16:45,80.0,12号线
华夏中路,1740.0,619.0,605.0,08:45,48.0,16号线
